actualDistance,distanceR,distanceL,distanceTL,,,,,,distanceR,actualDistance,,,,,,,,,,,,
15,14,12,12,,,,,,14,15,,,,,,,,,,,,
20,22,17,18,,,,,,22,20,,,,,,,,,,,,
25,29,23,23,,,,,,29,25,,,,,,,,,,,,
30,34,28,30,,,,,,34,30,,,,,,,,,,,,
35,42,32,35,,,,,,42,35,,,,,,,,,,,,final coeff
40,50,37,41,,,,,,50,40,,,,,,,,,,,,1.59375
45,60,42,49,,,,,,60,45,,,,,,,,,,,,
50,70,45,53,,,,,,70,50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,distanceL,actualDistance,,,,,,,,,,,,
,,,,,,,,,12,15,,,,,,,,,,,,
,,,,,,,,,17,20,,,,,,,,,,,,
,,,,,,,,,23,25,,,,,,,,,,,,
,,,,,,,,,28,30,,,,,,,,,,,,
,,,,,,,,,32,35,,,,,,,,,,,,
,,,,,,,,,37,40,,,,,,,,,,,,
,,,,,,,,,42,45,,,,,,,,,,,,
,,,,,,,,,45,50,,,,,,,,,,,,final coeff
,,,,,,,,,,,,,,,,,,,,,,2.601
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,distanceTL,actualDistance,,,,,,,,,,,,
,,,,,,,,,16.5,15,,,,,,,,,,,,
,,,,,,,,,21,20,,,,,,,,,,,,
,,,,,,,,,26,25,,,,,,,,,,,,
,,,,,,,,,30,33,,,,,,,,,,,,
,,,,,,,,,35,35,,,,,,,,,,,,
,,,,,,,,,39,40,,,,,,,,,,,,
,,,,,,,,,46,45,,,,,,,,,,,,
,,,,,,,,,60,50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2.0905
